TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity,Target
19:06:00,7.76E-05,0,0.00443028,0.210397009,0.351455984,1
11:55:00,0.758946019,1,0.889344963,0.191272526,0.371504984,0
18:39:00,0.086112261,0.081561131,0.088506927,0.220896881,0.214928276,1
14:26:00,0.720398821,0.980727874,0.809961716,0.262310842,0.076754755,0
13:34:00,0.77926926,1,0.871216008,0.283642909,0.081692195,0
15:19:00,0.68179702,0.925227461,0.76289616,0.263165391,0.067665376,0
20:39:00,0.004267536,0,0.010202471,0.173544597,0.529708803,1
00:54:00,0.000426754,0,0.011934128,0.108705715,0.426190877,1
04:42:00,0.000387958,0,0.016463078,0.03724408,0.714021209,1
11:26:00,0.738167287,1,0.869814895,0.175146876,0.379734052,0
12:53:00,0.998836127,1,0.91803489,0.954174826,0.346406329,0
07:49:00,0.671264685,0.9479092,0.833076792,0.02196111,0.878191101,0
02:33:00,0.000280192,0,0.012869848,0.08342136,0.521760272,1
21:32:00,0.004306331,0,0.009536449,0.161153641,0.564046457,1
12:54:00,0.998448169,1,0.915104393,0.952145273,0.343376536,0
16:03:00,0.686452514,0.93019024,0.764050598,0.274060887,0.08180441,0
16:18:00,0.644087523,0.868899917,0.711390457,0.269467687,0.08180441,0
00:25:00,0.000380638,0,0.011931615,0.118383882,0.41567235,1
10:48:00,0.717178771,0.992751892,0.845647341,0.158665163,0.502796013,0
16:26:00,0.622051521,0.835318445,0.682884714,0.267865409,0.108062616,0
05:07:00,3.88E-05,0,0.01743991,0.031155421,0.722100656,1
15:18:00,0.680167598,0.922249793,0.758988831,0.263806302,0.099983168,0
19:32:00,3.74E-05,0,0.003591585,0.207524776,0.364697301,1
01:17:00,0.00027157,0,0.011179303,0.102510237,0.482747012,1
04:45:00,0.000232775,0,0.016551881,0.040448638,0.732199966,1
12:33:00,0.837437065,1,0.978621515,0.230463078,0.199367858,0
00:12:00,0.000209351,0,0.009709866,0.118750693,0.413690599,1
16:49:00,0.546748914,0.724896609,0.590796069,0.257610824,0.126241374,0
09:23:00,0.66856766,0.933581472,0.807741643,0.07505786,0.619087696,0
19:20:00,0.000310366,0,0.001233374,0.209649279,0.359535432,1
02:34:00,0.000290968,0,0.012156135,0.083549938,0.518599562,1
20:18:00,0.00413175,0,0.009048033,0.179045754,0.561521629,1
19:19:00,0.000116387,0,0.00292063,0.209649279,0.348426191,1
08:58:00,0.646725636,0.900578991,0.77861428,0.069182838,0.708971554,0
20:33:00,0.004034761,0,0.008807936,0.175328863,0.530513008,1
18:13:00,0.227614836,0.275103391,0.238603623,0.229410717,0.18380744,1
08:50:00,0.64016915,0.892721257,0.772309271,0.066512373,0.707961623,0
14:37:00,0.698479205,0.95070306,0.785452106,0.255153997,0.066655445,0
18:58:00,0.001978585,0,0.005318309,0.213174292,0.339336812,1
15:16:00,0.677219119,0.916873449,0.753927063,0.264874488,0.057566066,0
09:05:00,0.654565257,0.910394265,0.785873097,0.078432536,0.691466083,0
